term,frequency,rank
blood,3956,1
skin,3798,2
anesthesia,3707,3
incision,3601,4
removed,3532,5
year,3504,6
room,3502,7
diagnosis,3212,8
general,3064,9
artery,3027,10
anterior,2932,11
back,2731,12
disease,2685,13
past,2674,14
chest,2631,15
examination,2578,16
position,2576,17
lower,2462,18
fashion,2445,19
neck,2424,20
negative,2374,21
present,2368,22
made,2352,23
upper,2324,24
pressure,2284,25
closed,2279,26
medications,2256,27
posterior,2254,28
postoperative,2241,29
lateral,2190,30
vicryl,2189,31
abdomen,2186,32
obtained,2181,33
medical,2172,34
operating,2151,35
approximately,2147,36
clear,2139,37
heart,2129,38
significant,2129,39
preoperative,2106,40
surgery,2089,41
evidence,2074,42
tissue,2041,43
condition,1971,44
exam,1967,45
side,1964,46
suture,1945,47
small,1917,48
sterile,1914,49
denies,1906,50
stable,1903,51
catheter,1881,52
physical,1867,53
bilaterally,1860,54
done,1847,55
intact,1839,56
seen,1821,57
loss,1796,58
prepped,1792,59
care,1790,60
mild,1786,61
distal,1785,62
family,1779,63
daily,1777,64
complications,1777,65
extremities,1740,66
head,1738,67
wound,1738,68
symptoms,1736,69
draped,1716,70
none,1713,71
bilateral,1699,72
plan,1675,73
level,1660,74
identified,1660,75
prior,1658,76
rate,1632,77
coronary,1619,78
signs,1614,79
brought,1595,80
diagnoses,1592,81
next,1592,82
bleeding,1591,83
bone,1568,84
surgical,1555,85
hospital,1550,86
soft,1544,87
needle,1506,88
acute,1504,89
bladder,1501,90
proximal,1491,91
muscle,1487,92
dissection,1487,93
female,1474,94
medial,1464,95
allergies,1463,96
found,1459,97
nerve,1437,98
abdominal,1431,99
tube,1407,100
tolerated,1406,101
years,1393,102
status,1391,103
bowel,1390,104
mass,1388,105
point,1383,106
chronic,1383,107
discussed,1370,108
today,1360,109
applied,1355,110
cervical,1337,111
first,1337,112
unremarkable,1331,113
review,1315,114
evaluation,1314,115
fascia,1313,116
knee,1312,117
difficulty,1292,118
hemostasis,1292,119
discharge,1289,120
weight,1269,121
treatment,1268,122
joint,1261,123
home,1258,124
last,1251,125
recovery,1244,126
foot,1241,127
states,1234,128
illness,1227,129
extremity,1225,130
pulmonary,1209,131
weeks,1191,132
place,1189,133
subcutaneous,1184,134
revealed,1183,135
post,1179,136
vital,1160,137
stenosis,1160,138
attention,1159,139
sutures,1157,140
usual,1157,141
large,1154,142
impression,1152,143
vein,1151,144
risks,1143,145
total,1138,146
femoral,1137,147
multiple,1131,148
regular,1130,149
edema,1128,150
aspect,1127,151
problems,1124,152
systems,1121,153
could,1112,154
severe,1111,155
supine,1110,156
